rank,name,n_lead_trials,n_any_trials,roles,normalized_pattern,suggested_rule_type,parsed_parent,draft_rule_line,rules_sha256,cohort_extracted_at
33,Cutera Inc.,36,36,lead,cutera,exact_normalized,,"<canonical>,exact_normalized,""cutera"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
34,ResMed,36,40,"collaborator,lead",resmed,exact_normalized,,"<canonical>,exact_normalized,""resmed"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
35,"Stiefel, a GSK Company",36,38,"collaborator,lead",stiefel a gsk,exact_normalized,,"<canonical>,exact_normalized,""stiefel a gsk"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
36,Sun Pharmaceutical Industries Limited,36,37,"collaborator,lead",sun pharmaceutical industries,exact_normalized,,"<canonical>,exact_normalized,""sun pharmaceutical industries"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
37,"Alkermes, Inc.",35,48,"collaborator,lead",alkermes,exact_normalized,,"<canonical>,exact_normalized,""alkermes"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
38,Cumberland Pharmaceuticals,34,37,"collaborator,lead",cumberland pharmaceuticals,exact_normalized,,"<canonical>,exact_normalized,""cumberland pharmaceuticals"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
39,Grifols Therapeutics LLC,34,37,"collaborator,lead",grifols therapeutics,exact_normalized,,"<canonical>,exact_normalized,""grifols therapeutics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
40,"Merz North America, Inc.",34,40,"collaborator,lead",merz north america,exact_normalized,,"<canonical>,exact_normalized,""merz north america"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
41,Molnlycke Health Care AB,34,35,"collaborator,lead",molnlycke health care,exact_normalized,,"<canonical>,exact_normalized,""molnlycke health care"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
42,Philips Respironics,34,37,"collaborator,lead",philips respironics,exact_normalized,,"<canonical>,exact_normalized,""philips respironics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
