level,label,bucket,reason,n_occurrences,n_trials,example_nct,first_seen,weeks_open,parser_rules_version
class,Caregiver Gender,,unrecognized,2,2,NCT03740113,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver Participants,,unrecognized,2,2,NCT03773757,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver Sex Demographics,,unrecognized,2,2,NCT04506437,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver sex,,unrecognized,2,2,NCT04528732,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,China,,unrecognized,2,2,NCT03434379,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Enrolled,,unrecognized,2,2,NCT02768727,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Expansion Phase,,unrecognized,2,2,NCT01693562,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,F-F,,unrecognized,2,2,NCT02793544,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,F-M,,unrecognized,2,2,NCT02793544,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Full Analysis Set,,unrecognized,2,2,NCT03487445,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,GA28948 & GA28949 Pooled Population,,unrecognized,2,2,NCT02171429,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Gender Identification,,unrecognized,2,2,NCT04276935,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Global,,unrecognized,2,2,NCT03434379,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Healthcare Workers,,unrecognized,2,2,NCT04088656,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,ITT Population,,unrecognized,2,2,NCT03622593,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Identified Patient,,unrecognized,2,2,NCT03846505,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Induction Phase,,unrecognized,2,2,NCT02394028,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Infant sex,,unrecognized,2,2,NCT02901665,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Initial Treatment,,unrecognized,2,2,NCT03108495,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Intervention (12 months),,unrecognized,2,2,NCT05423756,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Kappa FLC Subtype,,unrecognized,2,2,NCT04504825,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Lambda FLC Subtype,,unrecognized,2,2,NCT04504825,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,M-F,,unrecognized,2,2,NCT02793544,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,M-M,,unrecognized,2,2,NCT02793544,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Main,,unrecognized,2,2,NCT02333071,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Main Study Phase,,unrecognized,2,2,NCT03970733,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Mild,,unrecognized,2,2,NCT00276094,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Moderate,,unrecognized,3,2,NCT00276094,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Neonatal Sex,,unrecognized,2,2,NCT03631940,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Never,,unrecognized,2,2,NCT05396014,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,None,,unrecognized,2,2,NCT03500172,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,OLE,,unrecognized,2,2,NCT02333071,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Overall (All Randomized Participants),,unrecognized,2,2,NCT04504825,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Overall Study,,unrecognized,2,2,NCT04104022,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,PP,,unrecognized,2,2,NCT06403605,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Parent gender,,unrecognized,2,2,NCT01816074,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Parent participants,,unrecognized,2,2,NCT03766906,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Parents/Caregivers,,unrecognized,2,2,NCT03388294,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part I,,unrecognized,2,2,NCT02159066,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Part II,,unrecognized,2,2,NCT02159066,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Participants with dementia,,unrecognized,2,2,NCT04621448,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Partners,,unrecognized,2,2,NCT02240485,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Patient Participants,,unrecognized,2,2,NCT02328326,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Per Protocol Set,,unrecognized,2,2,NCT03487445,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Phase 1b,,unrecognized,2,2,NCT02795988,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Physician,,unrecognized,2,2,NCT03658642,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Preschoolers,,unrecognized,2,2,NCT04164277,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Reported Gender,,unrecognized,2,2,NCT03565497,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Retreatment,,unrecognized,2,2,NCT03108495,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Severe,,unrecognized,3,2,NCT00276094,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex Data for Participants Enrolled in Study mRNA-1273-P301,,unrecognized,2,2,NCT04796896,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex of Child,,unrecognized,2,2,NCT03575884,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sex of Parent,,unrecognized,2,2,NCT03575884,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Sex, n",,unrecognized,2,2,NCT01380990,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sexual desire,,unrecognized,2,2,NCT00351819,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sexual satisfaction,,unrecognized,2,2,NCT00512707,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Sometimes,,unrecognized,2,2,NCT05396014,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Substudy,,unrecognized,2,2,NCT05375929,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Survivors,,unrecognized,2,2,NCT06517394,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teens,,unrecognized,2,2,NCT04317664,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Treatment-Naive Population,,unrecognized,2,2,NCT03622593,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Undecided,,unrecognized,2,2,NCT03308097,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,United States,,unrecognized,2,2,NCT04924660,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Youth Sex Demographics,,unrecognized,2,2,NCT04506437,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
