level,label,bucket,reason,n_occurrences,n_trials,example_nct,parser_rules_version
class,Sub-population A,,unrecognized,1,1,NCT02844439,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sub-population B,,unrecognized,1,1,NCT02844439,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sub-study,,unrecognized,1,1,NCT04717934,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Subject 01-001,,unrecognized,1,1,NCT02718625,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Subject 01-002,,unrecognized,1,1,NCT02718625,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Subject 01-008,,unrecognized,1,1,NCT02718625,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Substudy A: Sex/Gender,,unrecognized,1,1,NCT04885530,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Substudy B: Sex/Gender,,unrecognized,1,1,NCT04885530,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Substudy C: Sex/Gender,,unrecognized,1,1,NCT04885530,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Substudy D: Sex/Gender,,unrecognized,1,1,NCT04885530,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Substudy E: Sex/Gender,,unrecognized,1,1,NCT04885530,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Substudy F: Sex/Gender,,unrecognized,1,1,NCT04885530,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Substudy G: Sex/Gender,,unrecognized,1,1,NCT04885530,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Successful Sexual Intercourse (Satisfaction),,unrecognized,1,1,NCT00512707,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Successful sexual Intercourse(Ejaculations),,unrecognized,1,1,NCT00512707,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Support persons,,unrecognized,1,1,NCT04347291,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Sustainability,,unrecognized,1,1,NCT01875861,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Switching arm: Humira and PF-06410293 (Adalimumab),,structural_or_group,1,1,NCT04230213,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Syphilis,,unrecognized,1,1,NCT03881007,parsers.R@2026-08-17 / outcomes@2026-09-10
class,TGNCNB* individual,gender_diverse,mapped,1,1,NCT05140421,parsers.R@2026-08-17 / outcomes@2026-09-10
class,TNBC,,unrecognized,1,1,NCT03004183,parsers.R@2026-08-17 / outcomes@2026-09-10
category,TWO SPIRIT,gender_diverse,mapped,1,1,NCT04804072,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Targeted Children,,unrecognized,1,1,NCT02873715,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Teachers,,unrecognized,6,1,NCT04752189,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teachers: Female,female,mapped,1,1,NCT00612690,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teachers: Male,male,mapped,1,1,NCT00612690,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teen Female,female,mapped,1,1,NCT03592186,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teen Gender,,unrecognized,1,1,NCT03521115,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teen Male,male,mapped,1,1,NCT03592186,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teen Other / Prefer not to answer,unknown,mapped,1,1,NCT03592186,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Teen Participants,,unrecognized,1,1,NCT03506880,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Thailand/Mae Ramat,,unrecognized,1,1,NCT00440999,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Thailand/Mae Sot,,unrecognized,1,1,NCT00440999,parsers.R@2026-08-17 / outcomes@2026-09-10
class,The Children's Hospital Colorado Base ED,,unrecognized,1,1,NCT01657344,parsers.R@2026-08-17 / outcomes@2026-09-10
class,The Children's Hospital Colorado Satellite ED,,unrecognized,1,1,NCT01657344,parsers.R@2026-08-17 / outcomes@2026-09-10
class,They/Them/Their,,unrecognized,1,1,NCT03177148,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Third gender,gender_diverse,mapped,1,1,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Titration period - Female,female,mapped,1,1,NCT00538863,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Titration period - Male,male,mapped,1,1,NCT00538863,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Total Participants,,unrecognized,1,1,NCT03078868,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Total Sample,,unrecognized,1,1,NCT05374798,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Total score,,unrecognized,1,1,NCT00351819,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Training,,unrecognized,1,1,NCT06487390,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trandgender,gender_diverse,mapped,1,1,NCT04147897,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans,gender_diverse,mapped,1,1,NCT03231358,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans Female,ambiguous,mapped,1,1,NCT04168645,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans Female,ambiguous,mapped,1,1,NCT06352840,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans Female/Trans Girl,ambiguous,mapped,1,1,NCT05900700,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans Feminine,gender_diverse,mapped,1,1,NCT03803683,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans Male,ambiguous,mapped,1,1,NCT04168645,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans Male,ambiguous,mapped,1,1,NCT06352840,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans Male/Trans Boy,ambiguous,mapped,1,1,NCT05900700,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans Man/Trans Masculine/Male,ambiguous,mapped,1,1,NCT06615401,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans Masculine/ Male to Female,ambiguous,mapped,1,1,NCT02401867,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans Woman/Trans Feminine/Female,ambiguous,mapped,1,1,NCT06615401,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans boy/man,ambiguous,mapped,1,1,NCT05521906,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans female,ambiguous,mapped,1,1,NCT04036396,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans female / trans w,ambiguous,mapped,1,1,NCT04768114,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Trans female, trans woman, or transfeminine",ambiguous,mapped,1,1,NCT03320512,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans feminine,gender_diverse,mapped,1,1,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans girl/woman,ambiguous,mapped,1,1,NCT05521906,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans male,ambiguous,mapped,1,1,NCT04896593,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans male/Trans man,ambiguous,mapped,1,1,NCT03794986,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans male/trans man,ambiguous,mapped,1,1,NCT03487796,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans man,ambiguous,mapped,1,1,NCT03242954,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans masculine,gender_diverse,mapped,1,1,NCT04498143,parsers.R@2026-08-17 / outcomes@2026-09-10
