level,label,bucket,reason,n_occurrences,n_trials,example_nct,parser_rules_version
class,Between 18 and 65 years,,unrecognized,1,1,NCT00985010,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Bi-Sexual,,unrecognized,1,1,NCT03277794,parsers.R@2026-08-17 / outcomes@2026-09-10
class,BiRD Phase,,unrecognized,1,1,NCT01559935,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Bigender,gender_diverse,mapped,1,1,NCT05534061,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Biological Sex,,unrecognized,1,1,NCT04419168,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Birth sex - Female,female,mapped,1,1,NCT03801174,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Bisexual / Pansexual,,sexual_orientation,1,1,NCT06213883,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Bisexual Male,,sexual_orientation,1,1,NCT05029362,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Bisexual female,,sexual_orientation,1,1,NCT05029362,parsers.R@2026-08-17 / outcomes@2026-09-10
category,"Bisexual, pansexual",,sexual_orientation,1,1,NCT06281171,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Bisexual/Other,gender_diverse,mapped,1,1,NCT03577301,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Bisexual/Pansexual,,sexual_orientation,1,1,NCT04584294,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Blood Pressure and Lipid Studies,,unrecognized,1,1,NCT00542178,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Blood contact/exchange,,unrecognized,1,1,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Booster Period Month 49,,unrecognized,1,1,NCT00955682,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Booster Phase: Placebo,,unrecognized,1,1,NCT03970733,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Booster Phase: VLA15 with Alum higher dose,,unrecognized,1,1,NCT03970733,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Both,,structural_or_group,1,1,NCT04363320,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Both,,structural_or_group,1,1,NCT04148508,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Both Male and Female,female,mapped,1,1,NCT03670355,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Both genders,,structural_or_group,1,1,NCT01365091,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Both male or female,female,mapped,1,1,NCT01650584,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Both men and women,female,mapped,1,1,NCT01161446,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Bovine Thrombin,,unrecognized,1,1,NCT02014402,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Boy,male,mapped,1,1,NCT03489434,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Boy/Man,male,mapped,1,1,NCT06425458,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Boy/Young man,male,mapped,1,1,NCT03852550,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Boy/man,male,mapped,1,1,NCT05781503,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Brazil,,unrecognized,1,1,NCT04924660,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Brief Hyperoxia Response Analysis Population,,unrecognized,1,1,NCT00732199,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Broken condom,,unrecognized,1,1,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Bronchiolitis patients (Active Deimplementation Phase, for primary outcome)",,unrecognized,1,1,NCT05132322,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Bronchiolitis patients (Baseline Phase, for primary outcome)",,unrecognized,1,1,NCT05132322,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Bronchiolitis patients (Exploratory Phase, for exploratory outcomes)",,unrecognized,1,1,NCT05132322,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Bronchiolitis patients (Sustainment Phase, for primary outcome)",,unrecognized,1,1,NCT05132322,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CAI with HIV+ Male Partner,male,mapped,1,1,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CAI with Male Partner of Unknown HIV Status,unknown,mapped,1,1,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CAP Cohort,,structural_or_group,1,1,NCT03055858,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CCHMC Base ED,,unrecognized,1,1,NCT01657344,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CCHMC Satellite ED,,unrecognized,1,1,NCT01657344,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CHOP Base ED,,unrecognized,1,1,NCT01657344,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CLAI in past 3 months,,unrecognized,1,1,NCT06187415,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CM,,unrecognized,1,1,NCT03758066,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CNMC Base ED,,unrecognized,1,1,NCT01657344,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CNMC Satellite ED,,unrecognized,1,1,NCT01657344,parsers.R@2026-08-17 / outcomes@2026-09-10
class,COS cycle 2,,unrecognized,1,1,NCT01956123,parsers.R@2026-08-17 / outcomes@2026-09-10
class,COS cycle 3,,unrecognized,1,1,NCT01956123,parsers.R@2026-08-17 / outcomes@2026-09-10
class,COVID-19,,unrecognized,1,1,NCT06141824,parsers.R@2026-08-17 / outcomes@2026-09-10
class,CRC-MSS,,unrecognized,1,1,NCT04208958,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cambodia,,unrecognized,1,1,NCT00440999,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Canada,,unrecognized,1,1,NCT06456671,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cancer Patients/Survivor Participants - Female,female,mapped,1,1,NCT05253573,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cancer Patients/Survivor Participants - Male,male,mapped,1,1,NCT05253573,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cancer Survivors,,unrecognized,1,1,NCT05702723,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cannot Be Reported Due to Participant Privacy,,unrecognized,1,1,NCT04586244,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Car Phase,,unrecognized,1,1,NCT01559935,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cardiac disorder,,unrecognized,1,1,NCT06790420,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Care Partner sex,,unrecognized,1,1,NCT03283553,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Care Recipient,,unrecognized,1,1,NCT05527405,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Care Recipients (Korean Older Adults),,unrecognized,1,1,NCT03909347,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Care partner (CP),,unrecognized,1,1,NCT03550131,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Care recipient (CR),,unrecognized,1,1,NCT03550131,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Care recipients,,unrecognized,1,1,NCT04418232,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver Data,,unrecognized,1,1,NCT03988621,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Caregiver Participants - Female,female,mapped,1,1,NCT05253573,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Caregiver Participants - Male,male,mapped,1,1,NCT05253573,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver age,,unrecognized,1,1,NCT04010227,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver gender,,unrecognized,1,1,NCT04869085,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregiver in caregiver-child pair,,unrecognized,1,1,NCT01519453,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregivers (separate from patients),,unrecognized,1,1,NCT03540771,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregivers of adolescents,,unrecognized,1,1,NCT03557151,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Caregivers who completed surveys,,unrecognized,1,1,NCT05387564,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Category title missing,unknown,mapped,1,1,NCT01100073,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Censored,,structural_or_group,1,1,NCT05055778,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Chemsex care programs affiliated with NGO,,unrecognized,1,1,NCT06187415,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Chemsex recovery therapy groups or counseling,,unrecognized,1,1,NCT06187415,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Child,,structural_or_group,4,1,NCT04859699,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Child Female gender, n (%)",female,mapped,1,1,NCT03408314,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Child Male gender, n (%)",male,mapped,1,1,NCT03408314,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child Non-binary,gender_diverse,mapped,1,1,NCT06408818,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child biological sex,,unrecognized,1,1,NCT05096611,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child care center directors,,unrecognized,1,1,NCT03319927,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child care providers,,unrecognized,1,1,NCT03319927,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child gender,,unrecognized,1,1,NCT01816074,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child in caregiver-child pair,,unrecognized,1,1,NCT01519453,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Child with rare disease,,unrecognized,1,1,NCT04855734,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Children (females),female,mapped,1,1,NCT04399161,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Children (males),male,mapped,1,1,NCT04399161,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Children Sex,,unrecognized,1,1,NCT02395120,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Children participants,,unrecognized,1,1,NCT03294590,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Chinese cohort,,structural_or_group,1,1,NCT04059484,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Chlamydia,,unrecognized,1,1,NCT03881007,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Choose not to report,unknown,mapped,1,1,NCT05120713,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Chose not to declare,unknown,mapped,1,1,NCT05801991,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Chronic,,unrecognized,1,1,NCT02522429,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Chronic Hepatitis C patients,,unrecognized,1,1,NCT01600105,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cis Female,ambiguous,mapped,1,1,NCT03707158,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cis Male,ambiguous,mapped,1,1,NCT03707158,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cis-female,ambiguous,mapped,1,1,NCT05020353,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cis-gender male,ambiguous,mapped,1,1,NCT02330419,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cis-male,ambiguous,mapped,1,1,NCT05020353,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cis-man,ambiguous,mapped,1,1,NCT05608083,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cis-woman,ambiguous,mapped,1,1,NCT05608083,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender Female,ambiguous,mapped,1,1,NCT04276935,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender Male,ambiguous,mapped,1,1,NCT04276935,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender Men,ambiguous,mapped,3,1,NCT05626231,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender Woman,ambiguous,mapped,1,1,NCT05512949,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender Woman,ambiguous,mapped,1,1,NCT05135767,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender Women,ambiguous,mapped,3,1,NCT05626231,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender boys,ambiguous,mapped,1,1,NCT03409328,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender female,ambiguous,mapped,1,1,NCT04797221,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender girl,ambiguous,mapped,1,1,NCT05408858,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender heterosexual man,ambiguous,mapped,1,1,NCT04089137,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender heterosexual woman,ambiguous,mapped,1,1,NCT04089137,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender man,ambiguous,mapped,1,1,NCT05897827,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender man,ambiguous,mapped,1,1,NCT04408469,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender men,ambiguous,mapped,1,1,NCT04878328,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cisgender woman,ambiguous,mapped,1,1,NCT05897827,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Cisgender woman,ambiguous,mapped,1,1,NCT04408469,parsers.R@2026-08-17 / outcomes@2026-09-10
class,ClinOleic,,unrecognized,1,1,NCT01943409,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic A,,unrecognized,1,1,NCT04107116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic B,,unrecognized,1,1,NCT04107116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic C,,unrecognized,1,1,NCT04107116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic D,,unrecognized,1,1,NCT04107116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic E,,unrecognized,1,1,NCT04107116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic F,,unrecognized,1,1,NCT04107116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic G,,unrecognized,1,1,NCT04107116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic H,,unrecognized,1,1,NCT04107116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic I,,unrecognized,1,1,NCT04107116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinic Staff,,unrecognized,1,1,NCT05472142,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Clinician Characteristics - Sex,,unrecognized,1,1,NCT05563714,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cognitively Normal,,unrecognized,1,1,NCT04057807,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 1 (50 mg QHS),,structural_or_group,1,1,NCT03525886,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 1 (FCM at 7.5 mg/kg to a maximum of 750mg),,structural_or_group,1,1,NCT02410213,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 1 (NAL ER 27 mg): Group 1,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 1 (NAL ER 27 mg): Group 2,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 1 (NAL ER 27 mg): Group 3,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 1 -12 to 17 years of age,,structural_or_group,1,1,NCT02340169,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 1 Group 15E,,structural_or_group,1,1,NCT04889209,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cohort 1, Female",female,mapped,1,1,NCT01849692,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cohort 1, Male",male,mapped,1,1,NCT01849692,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 10,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 11,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 12,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 13,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 14,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 1: Low Energy - Continuous,,structural_or_group,1,1,NCT03763708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 2 (100 mg QHS),,structural_or_group,1,1,NCT03525886,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 2 (FCM at 15 mg/kg to a maximum of 750mg,,structural_or_group,1,1,NCT02410213,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 2 (NAL ER 54 mg): Group 1,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 2 (NAL ER 54 mg): Group 2,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 2 - 6 to 11 years of age,,structural_or_group,1,1,NCT02340169,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cohort 2, Female",female,mapped,1,1,NCT01849692,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cohort 2, Male",male,mapped,1,1,NCT01849692,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 2: Interleaving,,structural_or_group,1,1,NCT03763708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 3,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 3 (100 mg QPM),,structural_or_group,1,1,NCT03525886,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 3 (NAL ER 108 mg): Group 1,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 3 (NAL ER 108 mg): Group 2,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cohort 3, Female",female,mapped,1,1,NCT01849692,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cohort 3, Male",male,mapped,1,1,NCT01849692,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 3- 2 to 5 years of age,,structural_or_group,1,1,NCT02340169,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 3: Cycling Evolve,,structural_or_group,1,1,NCT03763708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 4,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 4 (100 mg BID),,structural_or_group,1,1,NCT03525886,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 4 (NAL ER 162 mg): Group 1,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 4 (NAL ER 162 mg): Group 2,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cohort 4, Female",female,mapped,1,1,NCT01849692,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cohort 4, Male",male,mapped,1,1,NCT01849692,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 4: Low Energy Cycling 1,,structural_or_group,1,1,NCT03763708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 5,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 5 (NAL ER 162 mg): Group 4,,structural_or_group,1,1,NCT04020016,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 5: Low Energy Cycling 2,,structural_or_group,1,1,NCT03763708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 6,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 6: Differential Targeted Multiplexed-Low Energy Spinal Cord Stimulation (DTM-LE SCS),,structural_or_group,1,1,NCT03763708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 7,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 7: Super Cycle,,structural_or_group,1,1,NCT03763708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 8,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 8: Differential Targeted Multiplexed (DTM) for Neuro Sense (NS),,structural_or_group,1,1,NCT03763708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 9,,structural_or_group,1,1,NCT02878785,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort 9: Diabetic Peripheral Neuropathy (DPN) Flow,,structural_or_group,1,1,NCT03763708,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort A,,structural_or_group,1,1,NCT03257462,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort B,,structural_or_group,1,1,NCT03257462,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cohort C,,structural_or_group,1,1,NCT03257462,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Combination phase,,unrecognized,1,1,NCT02685709,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Communication Intervention,,unrecognized,1,1,NCT03599557,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Comparative analysis set,,unrecognized,1,1,NCT05796245,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Completed Data Collection for Aim 1,,unrecognized,1,1,NCT05586490,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Completed Data Collection for Aim 2,,unrecognized,1,1,NCT05586490,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Completed Data Collection for Aim 3,,unrecognized,1,1,NCT05586490,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Completed Trial (ITT),,unrecognized,1,1,NCT03081117,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Completed Trial (Per Protocol),,unrecognized,1,1,NCT03081117,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Completers,,unrecognized,1,1,NCT03621280,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Completing study,,unrecognized,1,1,NCT02768727,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Composite MSHQ,,unrecognized,1,1,NCT00512707,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Condom use (male/female condoms),female,mapped,1,1,NCT03058835,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Condomless anal sex,,unrecognized,1,1,NCT02248558,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Contact Clients,,unrecognized,1,1,NCT05343390,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Contact person participants,,unrecognized,1,1,NCT04520113,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Control Arm,,structural_or_group,1,1,NCT01740596,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Control Group,,unrecognized,1,1,NCT02798354,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Core Participants not enrolled in the Extension,,structural_or_group,1,1,NCT00395629,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Core trial period,,unrecognized,1,1,NCT05870540,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Counselors: Genderqueer/Other,gender_diverse,mapped,1,1,NCT03954184,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Counselors: Man,male,mapped,1,1,NCT03954184,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Counselors: Refused/Unknown,unknown,mapped,1,1,NCT03954184,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Counselors: Transgender Man,ambiguous,mapped,1,1,NCT03954184,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Counselors: Transgender Woman,ambiguous,mapped,1,1,NCT03954184,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Counselors: Woman,female,mapped,1,1,NCT03954184,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Count,,structural_or_group,1,1,NCT02601976,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Count by sex,,unrecognized,1,1,NCT04872569,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Count of Participants,,unrecognized,1,1,NCT05735652,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Crisaborole 2% BID,,unrecognized,1,1,NCT04040192,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Crisaborole 2% QD,,unrecognized,1,1,NCT04040192,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Crohn's disease,,unrecognized,1,1,NCT03834051,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cross-over for Treatment Failure,,unrecognized,1,1,NCT03738566,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Crossover,,unrecognized,1,1,NCT02763826,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Current Gender Female,female,mapped,1,1,NCT06069713,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Current Gender Male,male,mapped,1,1,NCT06069713,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Current Gender Transgender,gender_diverse,mapped,1,1,NCT06069713,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cycle 1, Rasburicase",,unrecognized,1,1,NCT01200485,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cycle 2, Arm A",,structural_or_group,1,1,NCT01200485,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Cycle 2, Arm B",,structural_or_group,1,1,NCT01200485,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Cytopenias,,unrecognized,1,1,NCT06790420,parsers.R@2026-08-17 / outcomes@2026-09-10
class,DB Treatment Period,,unrecognized,1,1,NCT04556734,parsers.R@2026-08-17 / outcomes@2026-09-10
class,DBT Phase,,unrecognized,1,1,NCT03941834,parsers.R@2026-08-17 / outcomes@2026-09-10
class,DIVI Team,,unrecognized,1,1,NCT04152603,parsers.R@2026-08-17 / outcomes@2026-09-10
class,DPPOS Participants,,unrecognized,1,1,NCT00038727,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Dabigatran vs Apixaban (matched pop),,unrecognized,1,1,NCT03026556,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Dabigatran vs Rivaroxaban (matched pop),,unrecognized,1,1,NCT03026556,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Dabigatran vs VKA (matched pop),,unrecognized,1,1,NCT02785354,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Dabigatran vs VKA(matched pop),,unrecognized,1,1,NCT02240667,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Data Missing,unknown,mapped,1,1,NCT05900700,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Data missing,unknown,mapped,1,1,NCT03011840,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Data missing,unknown,mapped,1,1,NCT04141917,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Data not reported,unknown,mapped,1,1,NCT01379703,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Data unavailable,unknown,mapped,1,1,NCT04852666,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Decline to answer,unknown,mapped,1,1,NCT04839978,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Decline to state,unknown,mapped,2,1,NCT05512949,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Decline/missing,unknown,mapped,1,1,NCT05057988,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Declined,unknown,mapped,1,1,NCT04159480,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Declined to Answer,unknown,mapped,1,1,NCT03974061,parsers.R@2026-08-17 / outcomes@2026-09-10
